Number,VID,Unit,Format,Comment,


Module Name : CTC,
  437),     11713,         V,         A[5],ESC_Volt_Setpoint_Volt,

  438),     11714,         V,         A[5],External_Bias_Setpoint_Volt,

  439),     11715,         %,         A[5],DC_Probe_Offset_Percent,

  440),     11716,         V,         A[5],ESC_Bias_Offset_Volt,

  441),     11717,         V,         A[5],ESC_Bias_Slope_Volt,

  442),  10000001,        __,         A[40],LotID,

  443),  10000002,     Count,         A[8],Current_Wafer_Count,

  444),  10000003,        __,         A[8],Wafer_Present_State,

  445),  10000004,        __,         A[40],Clean_Recipe_Name,

  446),  10000005,        __,         A[8],LPx_PortID,

  447),  10000006,        __,         A[8],LPx_SlotID,

  448),  10000011,        __,         A[4],Process_State,


Module Name : PM2,
